#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6;;;;;;;;;
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com;;;;;;;;;
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable;;;;;;;;;
-----------------------------------------------;;;;;;;;;
#Certains ne respectent pas la demande de ne pas récupérer trop souvent le fichier pour préserver le serveur (cela ne sert à rien de récupérer toutes les 3 min), le fichier présente désormais les 30 derniers jours seulement;;;;;;;;;
#Si vous souhaitez avoir accès à l'ensemble, contactez moi, je n'ai pas le temps de faire la chasse à ceux qui ne respectent pas une certaine éthique, alors je fais en sorte de préserver mes ressources;;;;;;;;;
-----------------------------------------------;;;;;;;;;
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection;Latitude;Longitude
13/01/2021;Andorre;8745;87;7966;0.99;91.09;7.91;42.542268247534;1.5968647459716578
13/01/2021;Émirats Arabes Unis;239587;723;213149;0.30;88.97;10.73;24.0002488;53.9994829
13/01/2021;Afghanistan;53584;2301;44850;4.29;83.70;12.01;33.7680065;66.2385139
13/01/2021;Antigua-et-Barbuda;176;5;152;2.84;86.36;10.80;17.2234721;-61.9554608
13/01/2021;Albanie;64627;1252;38421;1.94;59.45;38.61;41.000028;19.9999619
13/01/2021;Armenie;163128;2951;151246;1.81;92.72;5.47;40.7696272;44.6736646
13/01/2021;Angola;18343;422;15512;2.30;84.57;13.13;-11.8775768;17.5691241
13/01/2021;Argentine;1744704;44848;1527861;2.57;87.57;9.86;-34.9964963;-64.9672817
13/01/2021;Autriche;385750;6868;359692;1.78;93.24;4.97;47.2000338;13.199959
13/01/2021;Australie;28650;909;25865;3.17;90.28;6.55;-24.7761086;134.755
13/01/2021;Azerbaïdjan;225346;2941;210798;1.31;93.54;5.15;40.3936294;47.7872508
13/01/2021;Bosnie-Herzégovine;116200;4373;82822;3.76;71.28;24.96;44.3053476;17.5961467
13/01/2021;Barbade;968;7;408;0.72;42.15;57.13;13.1500331;-59.5250305
13/01/2021;Bangladesh;524910;7833;469522;1.49;89.45;9.06;24.4768783;90.2932426
13/01/2021;Belgique;667322;20194;0;3.03;0.00;96.97;50.6402809;4.6667145
13/01/2021;Burkina Faso;8463;92;6028;1.09;71.23;27.69;12.0753083;-1.6880314
13/01/2021;Bulgarie;209881;8279;140548;3.94;66.97;29.09;42.6073975;25.4856617
13/01/2021;Bahreïn;96195;356;92920;0.37;96.60;3.03;26.1551249;50.5344606
13/01/2021;Burundi;1019;2;773;0.20;75.86;23.95;-3.3634357;29.8870575
13/01/2021;Bénin;3363;46;3222;1.37;95.81;2.82;9.5293472;2.2584408
13/01/2021;Saint Barthélemy;206;1;172;0.49;83.50;16.02;17.9036287;-62.8115688
13/01/2021;Brunéi Darussalam;174;3;153;1.72;87.93;10.34;4.4137155;114.5653908
